,ID,Data,Produto,Categoria,Quantidade,Preço
483,484,2023-07-24,Camiseta,Marca A,2.0,75.0
484,485,2023-02-22,Calça,Marca A,2.0,100.0
485,486,2023-09-21,Roupa Intíma,Marca C,2.0,20.0
486,487,2023-11-28,Roupa Intíma,Marca A,2.0,35.0
487,488,2023-05-08,Camiseta,Marca B,2.0,95.0
488,489,2023-03-25,Roupa Intíma,Marca B,2.0,65.0
489,490,2023-08-10,Camiseta,Marca A,2.0,75.0
490,491,2023-03-17,Camiseta,Marca B,1.0,80.0
491,492,2023-08-27,Tênis,Marca C,3.0,165.0
492,493,2023-01-10,Calça,Marca C,2.0,95.0
493,494,2023-05-12,Camiseta,Marca A,3.0,65.0
494,495,2023-02-25,Camiseta,Marca A,1.0,60.0
495,496,2023-12-19,Calça,Marca A,1.0,80.0
496,497,2023-01-31,Calça,Marca A,2.0,90.0
497,498,2023-07-17,Camiseta,Marca B,2.0,75.0
498,499,2023-12-13,Calça,Marca C,2.0,90.0
499,500,2023-04-07,Tênis,Marca A,1.0,150.0
